instance_id,n,lenw,budget,solved,nodes_used
1,3,3,250000,1,12
2,3,3,250000,1,8
3,3,4,250000,0,250000
4,3,4,250000,1,45
5,3,4,250000,1,9
6,3,4,250000,1,53
7,3,4,250000,0,250000
8,3,4,250000,1,8
9,3,5,250000,1,31
10,3,5,250000,0,250000
11,3,5,250000,0,250000
12,3,5,250000,1,70
13,3,5,250000,1,65
14,3,5,250000,1,26
15,3,5,250000,0,250000
16,3,5,250000,0,250000
17,3,5,250000,1,24
18,3,5,250000,1,67
19,3,5,250000,0,250000
20,3,5,250000,1,23
21,3,5,250000,1,28
22,3,5,250000,0,250000
23,3,5,250000,0,250000
24,3,5,250000,1,71
25,3,5,250000,0,250000
26,3,5,250000,1,15
27,3,6,250000,0,250000
28,3,6,250000,0,250000
29,3,6,250000,0,250000
30,3,6,250000,1,88
31,3,6,250000,1,35
32,3,6,250000,0,250000
33,3,6,250000,0,250000
34,3,6,250000,0,250000
35,3,6,250000,1,85
36,3,6,250000,1,28
37,3,6,250000,1,29
38,3,6,250000,0,250000
39,3,6,250000,1,67
40,3,6,250000,0,250000
41,3,6,250000,0,250000
42,3,6,250000,0,250000
43,3,6,250000,0,250000
44,3,6,250000,1,22
45,3,6,250000,1,22
46,3,6,250000,1,13
47,3,6,250000,1,31
48,3,6,250000,1,85
49,3,6,250000,0,250000
50,3,6,250000,1,27
51,3,6,250000,1,23
52,3,6,250000,0,250000
53,3,6,250000,0,250000
54,3,6,250000,0,250000
55,3,6,250000,0,250000
56,3,6,250000,0,250000
57,3,6,250000,0,250000
58,3,6,250000,1,26
59,3,6,250000,1,66
60,3,6,250000,1,10
61,3,6,250000,1,23
62,3,6,250000,1,22
63,3,6,250000,0,250000
64,3,6,250000,0,250000
65,3,6,250000,1,88
66,3,6,250000,0,250000
67,3,6,250000,0,250000
68,3,6,250000,1,18
69,4,3,250000,1,14
70,4,3,250000,1,9
71,4,4,250000,0,250000
72,4,4,250000,1,137
73,4,4,250000,1,13
74,4,4,250000,1,141
75,4,4,250000,0,250000
76,4,4,250000,1,9
77,4,5,250000,0,250000
78,4,5,250000,0,250000
79,4,5,250000,0,250000
80,4,5,250000,0,250000
81,4,5,250000,1,180
82,4,5,250000,0,250000
83,4,5,250000,0,250000
84,4,5,250000,1,51
85,4,5,250000,1,10
86,4,5,250000,1,180
87,4,5,250000,0,250000
88,4,5,250000,0,250000
89,4,5,250000,0,250000
90,4,5,250000,1,49
91,4,5,250000,0,250000
92,4,5,250000,0,250000
93,4,5,250000,0,250000
94,4,5,250000,1,9
95,4,6,250000,0,250000
96,4,6,250000,0,250000
97,4,6,250000,0,250000
98,4,6,250000,0,250000
99,4,6,250000,0,250000
100,4,6,250000,0,250000
101,4,6,250000,0,250000
102,4,6,250000,0,250000
103,4,6,250000,0,250000
104,4,6,250000,0,250000
105,4,6,250000,0,250000
106,4,6,250000,0,250000
107,4,6,250000,0,250000
108,4,6,250000,0,250000
109,4,6,250000,0,250000
110,4,6,250000,0,250000
111,4,6,250000,1,37
112,4,6,250000,1,29
113,4,6,250000,0,250000
114,4,6,250000,0,250000
115,4,6,250000,1,28
116,4,6,250000,0,250000
117,4,6,250000,0,250000
118,4,6,250000,0,250000
119,4,6,250000,0,250000
120,4,6,250000,1,38
121,4,6,250000,0,250000
122,4,6,250000,0,250000
123,4,6,250000,0,250000
124,4,6,250000,0,250000
125,4,6,250000,0,250000
126,4,6,250000,1,27
127,4,6,250000,0,250000
128,4,6,250000,0,250000
129,4,6,250000,0,250000
130,4,6,250000,0,250000
131,4,6,250000,0,250000
132,4,6,250000,0,250000
133,4,6,250000,0,250000
134,4,6,250000,0,250000
135,4,6,250000,0,250000
136,4,6,250000,1,17
137,5,3,250000,1,12
138,5,3,250000,1,10
139,5,4,250000,0,250000
140,5,4,250000,0,250000
141,5,4,250000,1,27
142,5,4,250000,0,250000
143,5,4,250000,0,250000
144,5,4,250000,1,10
145,5,5,250000,0,250000
146,5,5,250000,0,250000
147,5,5,250000,0,250000
148,5,5,250000,0,250000
149,5,5,250000,0,250000
150,5,5,250000,0,250000
151,5,5,250000,0,250000
152,5,5,250000,0,250000
153,5,5,250000,1,14
154,5,5,250000,0,250000
155,5,5,250000,0,250000
156,5,5,250000,0,250000
157,5,5,250000,0,250000
158,5,5,250000,0,250000
159,5,5,250000,0,250000
160,5,5,250000,0,250000
161,5,5,250000,0,250000
162,5,5,250000,1,10
163,5,6,250000,0,250000
164,5,6,250000,0,250000
165,5,6,250000,0,250000
166,5,6,250000,0,250000
167,5,6,250000,0,250000
168,5,6,250000,0,250000
169,5,6,250000,0,250000
170,5,6,250000,0,250000
171,5,6,250000,0,250000
172,5,6,250000,0,250000
173,5,6,250000,0,250000
174,5,6,250000,1,44
175,5,6,250000,0,250000
176,5,6,250000,0,250000
177,5,6,250000,0,250000
178,5,6,250000,0,250000
179,5,6,250000,0,250000
180,5,6,250000,1,56
181,5,6,250000,0,250000
182,5,6,250000,0,250000
183,5,6,250000,1,11
184,5,6,250000,0,250000
185,5,6,250000,0,250000
186,5,6,250000,0,250000
187,5,6,250000,0,250000
188,5,6,250000,0,250000
189,5,6,250000,0,250000
190,5,6,250000,0,250000
191,5,6,250000,0,250000
192,5,6,250000,1,48
193,5,6,250000,0,250000
194,5,6,250000,1,52
195,5,6,250000,0,250000
196,5,6,250000,0,250000
197,5,6,250000,0,250000
198,5,6,250000,0,250000
199,5,6,250000,0,250000
200,5,6,250000,0,250000
201,5,6,250000,0,250000
202,5,6,250000,0,250000
203,5,6,250000,0,250000
204,5,6,250000,1,10
