instance_id,n,lenw,total_length,length_imbalance,length_variance,generator_skew
1,1,1,7,3,2.25,0.14285714285714285
2,1,1,7,3,2.25,0.14285714285714285
3,1,2,8,2,1.0,0.25
4,1,2,8,2,1.0,0.25
5,1,3,9,1,0.25,0.3333333333333333
6,1,3,9,1,0.25,0.3333333333333333
7,1,4,10,0,0.0,0.0
8,1,4,10,0,0.0,0.0
9,1,4,10,0,0.0,0.4
10,1,4,10,0,0.0,0.0
11,1,4,10,0,0.0,0.0
12,1,4,10,0,0.0,0.4
13,1,5,11,1,0.25,0.09090909090909091
14,1,5,11,1,0.25,0.09090909090909091
15,1,5,11,1,0.25,0.09090909090909091
16,1,5,11,1,0.25,0.09090909090909091
17,1,5,11,1,0.25,0.09090909090909091
18,1,5,11,1,0.25,0.09090909090909091
19,1,5,11,1,0.25,0.09090909090909091
20,1,5,11,1,0.25,0.09090909090909091
21,1,5,11,1,0.25,0.45454545454545453
22,1,5,11,1,0.25,0.09090909090909091
23,1,5,11,1,0.25,0.09090909090909091
24,1,5,11,1,0.25,0.09090909090909091
25,1,5,11,1,0.25,0.09090909090909091
26,1,5,11,1,0.25,0.09090909090909091
27,1,5,11,1,0.25,0.09090909090909091
28,1,5,11,1,0.25,0.09090909090909091
29,1,5,11,1,0.25,0.09090909090909091
30,1,5,11,1,0.25,0.45454545454545453
31,1,6,12,2,1.0,0.16666666666666666
32,1,6,12,2,1.0,0.16666666666666666
33,1,6,12,2,1.0,0.16666666666666666
34,1,6,12,2,1.0,0.16666666666666666
35,1,6,12,2,1.0,0.16666666666666666
36,1,6,12,2,1.0,0.16666666666666666
37,1,6,12,2,1.0,0.16666666666666666
38,1,6,12,2,1.0,0.16666666666666666
39,1,6,12,2,1.0,0.16666666666666666
40,1,6,12,2,1.0,0.16666666666666666
41,1,6,12,2,1.0,0.16666666666666666
42,1,6,12,2,1.0,0.16666666666666666
43,1,6,12,2,1.0,0.16666666666666666
44,1,6,12,2,1.0,0.16666666666666666
45,1,6,12,2,1.0,0.16666666666666666
46,1,6,12,2,1.0,0.16666666666666666
47,1,6,12,2,1.0,0.16666666666666666
48,1,6,12,2,1.0,0.16666666666666666
49,1,6,12,2,1.0,0.16666666666666666
50,1,6,12,2,1.0,0.16666666666666666
51,1,6,12,2,1.0,0.5
52,1,6,12,2,1.0,0.16666666666666666
53,1,6,12,2,1.0,0.16666666666666666
54,1,6,12,2,1.0,0.16666666666666666
55,1,6,12,2,1.0,0.16666666666666666
56,1,6,12,2,1.0,0.16666666666666666
57,1,6,12,2,1.0,0.16666666666666666
58,1,6,12,2,1.0,0.16666666666666666
59,1,6,12,2,1.0,0.16666666666666666
60,1,6,12,2,1.0,0.16666666666666666
61,1,6,12,2,1.0,0.16666666666666666
62,1,6,12,2,1.0,0.16666666666666666
63,1,6,12,2,1.0,0.16666666666666666
64,1,6,12,2,1.0,0.16666666666666666
65,1,6,12,2,1.0,0.16666666666666666
66,1,6,12,2,1.0,0.16666666666666666
67,1,6,12,2,1.0,0.16666666666666666
68,1,6,12,2,1.0,0.16666666666666666
69,1,6,12,2,1.0,0.16666666666666666
70,1,6,12,2,1.0,0.16666666666666666
71,1,6,12,2,1.0,0.16666666666666666
72,1,6,12,2,1.0,0.5
73,1,7,13,3,2.25,0.07692307692307693
74,1,7,13,3,2.25,0.07692307692307693
75,1,7,13,3,2.25,0.07692307692307693
76,1,7,13,3,2.25,0.07692307692307693
77,1,7,13,3,2.25,0.07692307692307693
78,1,7,13,3,2.25,0.07692307692307693
79,1,7,13,3,2.25,0.07692307692307693
80,1,7,13,3,2.25,0.07692307692307693
81,1,7,13,3,2.25,0.07692307692307693
82,1,7,13,3,2.25,0.07692307692307693
83,1,7,13,3,2.25,0.07692307692307693
84,1,7,13,3,2.25,0.07692307692307693
85,1,7,13,3,2.25,0.23076923076923078
86,1,7,13,3,2.25,0.23076923076923078
87,1,7,13,3,2.25,0.23076923076923078
